sent_id,id,token,lemma,pos,synt_tag,head_id,head_tok
706,9,범죄가,범죄+가,NOUN,nsubj,10,발생하고
706,10,발생하고,발생+하+고,VERB,ccomp,30,달라”고
706,11,있어,있,AUX,aux,10,발생하고
706,12,각별한,각별+하+ㄴ,VERB,amod,13,주의가
706,13,주의가,주의+가,NOUN,nsubj,14,필요하다”면서
706,14,필요하다”면서,필요+하+다+”+면서,CCONJ,root,0,.
706,15,“이런,“+이+ㄴ,VERB,amod,16,보이스피싱이
706,16,보이스피싱이,보이스피싱+이,PROPN,nsubj,17,의심되는
706,17,의심되는,의심+되+는,VERB,acl,19,이메일을
706,18,전화나,전화+나,CCONJ,obj,20,받아
706,19,이메일을,이메일+을,NOUN,conj,18,전화나
706,20,받아,받+아,SCONJ,ccomp,22,입은
706,21,피해를,피해+를,NOUN,obj,22,입은
706,22,입은,입+은,VERB,acl,23,경우
706,23,경우,경우,NOUN,obl,30,달라”고
706,24,신속히,신속히,ADV,advmod,30,달라”고
706,25,관할,관할,NOUN,compound,26,경찰서
706,26,경찰서,경찰서,NOUN,obl,29,신고해
706,27,또는,또는,CCONJ,cc,28,미연방통신위원회에
706,28,미연방통신위원회에,미연+방통+신위회회+에,ADV,conj,26,경찰서
706,29,신고해,신고+하+어,SCONJ,ccomp,30,달라”고
706,30,달라”고,달라내+ㅆ+고,VERB,conj,14,필요하다”면서
706,31,했다,하,AUX,aux,30,달라”고
707,1,슬로베니아대사관은,슬로베니아대사관+은,PROPN,dislocated,24,소개했다
707,2,독일에서,독일+에서,ADV,advcl,3,발신한
707,3,발신한,발신+하+ㄴ,VERB,acl,5,번호로
707,4,휴대전화,휴대+전화,NOUN,compound,5,번호로
707,5,번호로,번호+로,ADV,advcl,9,소개한
707,6,자신을,자신+을,NOUN,obj,9,소개한
707,7,대사관,대사관,NOUN,compound,8,직원이라고
707,8,직원이라고,직원+이+라+고,VERB,acl,10,뒤
707,9,소개한,소개+하+ㄴ,VERB,conj,8,직원이라고
707,10,뒤,뒤,NOUN,obl,24,소개했다
707,11,마약,마약,NOUN,compound,12,거래법
707,12,거래법,거래법,NOUN,compound,13,위반으로
707,13,위반으로,위반+으로,ADV,advcl,16,중이라고
707,14,수사가,수사+가,NOUN,nsubj,16,중이라고
707,15,진행,진행,NOUN,compound,16,중이라고
707,16,중이라고,중+이+라+고,VERB,ccomp,24,소개했다
707,17,속여,속이+어,SCONJ,conj,16,중이라고
707,18,한국,한국,PROPN,compound,19,대검철창
707,19,대검철창,대검+철창,NOUN,compound,21,접속을
707,20,홈페이지,홈페+이지,NOUN,compound,21,접속을
707,21,접속을,접속+을,NOUN,obj,22,유도한
707,22,유도한,유도+하+ㄴ,VERB,acl,23,사례를
707,23,사례를,사례+를,NOUN,obj,24,소개했다
707,24,소개했다,소개+하+었+다,VERB,root,0,.
708,1,주다롄한국출장소는,주다롄한국출장소+는,NOUN,dislocated,45,언급했다
708,2,캄보디아,캄보디아,PROPN,compound,7,등
708,4,라오스,라오스,PROPN,conj,2,캄보디아
708,6,미얀마,미얀마,PROPN,conj,2,캄보디아
708,7,등,등,NOUN,obl,10,지역에서
708,8,동남아시아,동남아시아,PROPN,compound,10,지역에서
708,9,일부,일부,NOUN,compound,10,지역에서
708,10,지역에서,지역+에서,ADV,advcl,13,아르바이트
708,12,고수익,고수익,NOUN,compound,13,아르바이트
708,13,아르바이트,아르바이트,NOUN,compound,18,취업
708,16,‘해외,‘해외,NOUN,compound,17,투자회사
708,17,투자회사,투자+회사,NOUN,compound,18,취업
708,18,취업,취업,NOUN,compound,25,등의
708,21,‘온라인,‘온라+이+ㄴ,VERB,acl,23,모집
708,22,홍보직,홍보직,NOUN,compound,23,모집
708,23,모집,모집,NOUN,conj,18,취업
708,25,등의,등+의,NOUN,nmod,28,광고를
708,26,허위,허위,NOUN,compound,27,구인
708,27,구인,구인,NOUN,compound,28,광고를
708,28,광고를,광고+를,NOUN,obj,29,내세워
708,29,내세워,내세우+어,SCONJ,ccomp,33,유인한
708,30,우리,우리,PRON,compound,31,국민을
708,31,국민을,국민+을,NOUN,obj,33,유인한
708,32,현지로,현지+로,ADV,advcl,33,유인한
708,33,유인한,유인+하+ㄴ,VERB,acl,34,뒤
708,34,뒤,뒤,NOUN,obl,45,언급했다
708,36,보이스피싱·불법,보이스피싱+·불법,NOUN,compound,37,도박사이트
